#         Elevation : 50 deg.
#  Central Azimuths : [240.0, 75.0, 285.0, 120.0] deg.
#  Local Sid. Times : [0.86, 6.86, 12.86, 18.86] hours.
#     Azimuth Throw : 40.0 deg. (not on sky)
#     Scan Set Time : 1:05:00
#   Solar Avoidance : 45.0 deg.
#   Lunar Avoidance : 45.0 deg.
# Focal Plane Width : 35.0deg
#Site           |Telescope       |Latitude [deg]|Longitude [deg]  |Elevation [m]
 Atacama        |SAT             |       -22.958|        -67.786|         5200.0
#      Start time UTC       |Stop time UTC|Rotation|Patch name                           |Az min  |Az max      |El |Pass|Sub
  2023-10-31 11:55:00| 2023-10-31 13:00:00|  -45.00|Constant elevation scan.             |265.00|  305.00|   50.00|    0|  11
  2023-10-31 13:00:00| 2023-10-31 14:05:00|  -45.00|Constant elevation scan.             |265.00|  305.00|   50.00|    0|  12
  2023-10-31 14:05:00| 2023-10-31 15:10:00|  -45.00|Constant elevation scan.             |265.00|  305.00|   50.00|    0|  13
  2023-10-31 15:10:00| 2023-10-31 16:15:00|  -45.00|SPECIAL -- Solar Avoidance Violation |220.00|  260.00|   50.00|    0|  14
  2023-10-31 16:15:00| 2023-10-31 17:20:00|  -45.00|SPECIAL -- Solar Avoidance Violation |220.00|  260.00|   50.00|    0|  15
  2023-10-31 17:20:00| 2023-10-31 18:25:00|  -45.00|Constant elevation scan.             |100.00|  140.00|   50.00|    0|  16
  2023-10-31 18:25:00| 2023-10-31 19:30:00|  -45.00|Constant elevation scan.             |100.00|  140.00|   50.00|    0|  17
  2023-10-31 19:30:00| 2023-10-31 20:35:00|  -45.00|Constant elevation scan.             |100.00|  140.00|   50.00|    0|  18
  2023-10-31 20:35:00| 2023-10-31 21:40:00|  -45.00|Constant elevation scan.             |100.00|  140.00|   50.00|    0|  19
  2023-10-31 21:40:00| 2023-10-31 22:45:00|  -45.00|Constant elevation scan.             |100.00|  140.00|   50.00|    0|  20
  2023-10-31 22:45:00| 2023-10-31 23:50:00|  -45.00|Constant elevation scan.             |100.00|  140.00|   50.00|    0|  21
  2023-10-31 23:50:00| 2023-11-01 00:55:00|  -45.00|Constant elevation scan.             |100.00|  140.00|   50.00|    0|  22
  2023-11-01 00:55:00| 2023-11-01 02:00:00|   45.00|Constant elevation scan.             |100.00|  140.00|   50.00|    1|   0
  2023-11-01 02:00:00| 2023-11-01 03:05:00|   45.00|Constant elevation scan.             |100.00|  140.00|   50.00|    1|   1
  2023-11-01 03:05:00| 2023-11-01 04:10:00|   45.00|Constant elevation scan.             |220.00|  260.00|   50.00|    1|   2
