#Site           |Telescope       |Latitude [deg]|Longitude [deg]  |Elevation [m]
 Atacama        |SAT             |       -22.958|        -67.786|         5200.0
#      Start time UTC       |Stop time UTC|Rotation|Patch name                           |Az min  |Az max      |El |Pass|Sub
  2023-08-19 00:00:00| 2023-08-19 01:05:00|    0.00|Constant elevation scans             |275.00|  295.00|   50.00|    0|   0
  2023-08-19 01:05:00| 2023-08-19 02:10:00|    0.00|Constant elevation scans             |110.00|  130.00|   50.00|    0|   1
  2023-08-19 02:10:00| 2023-08-19 03:15:00|    0.00|Constant elevation scans             |110.00|  130.00|   50.00|    0|   2
  2023-08-19 03:15:00| 2023-08-19 04:20:00|    0.00|Constant elevation scans             |110.00|  130.00|   50.00|    0|   3
  2023-08-19 04:20:00| 2023-08-19 05:25:00|    0.00|Constant elevation scans             |110.00|  130.00|   50.00|    0|   4
  2023-08-19 05:25:00| 2023-08-19 06:30:00|    0.00|Constant elevation scans             |110.00|  130.00|   50.00|    0|   5
  2023-08-19 06:30:00| 2023-08-19 07:35:00|    0.00|Constant elevation scans             |230.00|  250.00|   50.00|    0|   6
  2023-08-19 07:35:00| 2023-08-19 08:40:00|    0.00|Constant elevation scans             |230.00|  250.00|   50.00|    0|   7
  2023-08-19 08:40:00| 2023-08-19 09:45:00|    0.00|Constant elevation scans             |230.00|  250.00|   50.00|    0|   8
  2023-08-19 09:45:00| 2023-08-19 10:50:00|    0.00|Constant elevation scans             |230.00|  250.00|   50.00|    0|   9
  2023-08-19 10:50:00| 2023-08-19 11:55:00|    0.00|Constant elevation scans             |230.00|  250.00|   50.00|    0|  10
  2023-08-19 11:55:00| 2023-08-19 13:00:00|    0.00|Constant elevation scans             |230.00|  250.00|   50.00|    0|  11
  2023-08-19 13:00:00| 2023-08-19 14:05:00|    0.00|SPECIAL -- Moon avoidance (at end)   | 65.00|   85.00|   50.00|    0|  12
  2023-08-19 14:05:00| 2023-08-19 15:10:00|    0.00|SPECIAL -- Moon avoidance (at end)   | 65.00|   85.00|   50.00|    0|  13
  2023-08-19 15:10:00| 2023-08-19 16:15:00|    0.00|SPECIAL -- Moon avoidance (at end)   | 65.00|   85.00|   50.00|    0|  14
  2023-08-19 16:15:00| 2023-08-19 17:20:00|    0.00|SPECIAL -- Moon avoidance (at end)   | 65.00|   85.00|   50.00|    0|  15
  2023-08-19 17:20:00| 2023-08-19 18:25:00|    0.00|SPECIAL -- Moon avoidance (at end)   | 65.00|   85.00|   50.00|    0|  16
  2023-08-19 18:25:00| 2023-08-19 19:30:00|    0.00|SPECIAL -- Moon avoidance (at end)   |275.00|  295.00|   50.00|    0|  17
  2023-08-19 19:30:00| 2023-08-19 20:35:00|    0.00|SPECIAL -- Moon avoidance (at end)   |275.00|  295.00|   50.00|    0|  18
  2023-08-19 20:35:00| 2023-08-19 21:40:00|    0.00|SPECIAL -- Moon avoidance (at end)   |275.00|  295.00|   50.00|    0|  19
  2023-08-19 21:40:00| 2023-08-19 22:45:00|    0.00|SPECIAL -- Moon avoidance (at end)   |275.00|  295.00|   50.00|    0|  20
  2023-08-19 22:45:00| 2023-08-19 23:50:00|    0.00|SPECIAL -- Moon avoidance (at end)   |275.00|  295.00|   50.00|    0|  21
  2023-08-19 23:50:00| 2023-08-20 00:55:00|    0.00|SPECIAL -- Moon avoidance (at middle)|275.00|  295.00|   50.00|    0|  22
  2023-08-20 00:55:00| 2023-08-20 02:00:00|   90.00|Constant elevation scans             |110.00|  130.00|   50.00|    1|   0
  2023-08-20 02:00:00| 2023-08-20 03:05:00|   90.00|Constant elevation scans             |110.00|  130.00|   50.00|    1|   1
  2023-08-20 03:05:00| 2023-08-20 04:10:00|   90.00|Constant elevation scans             |110.00|  130.00|   50.00|    1|   2
  2023-08-20 04:10:00| 2023-08-20 05:15:00|   90.00|Constant elevation scans             |110.00|  130.00|   50.00|    1|   3
  2023-08-20 05:15:00| 2023-08-20 06:20:00|   90.00|Constant elevation scans             |110.00|  130.00|   50.00|    1|   4
  2023-08-20 06:20:00| 2023-08-20 07:25:00|   90.00|Constant elevation scans             |230.00|  250.00|   50.00|    1|   5
  2023-08-20 07:25:00| 2023-08-20 08:30:00|   90.00|Constant elevation scans             |230.00|  250.00|   50.00|    1|   6
  2023-08-20 08:30:00| 2023-08-20 09:35:00|   90.00|Constant elevation scans             |230.00|  250.00|   50.00|    1|   7
  2023-08-20 09:35:00| 2023-08-20 10:40:00|   90.00|Constant elevation scans             |230.00|  250.00|   50.00|    1|   8
  2023-08-20 10:40:00| 2023-08-20 11:45:00|   90.00|Constant elevation scans             |230.00|  250.00|   50.00|    1|   9
  2023-08-20 11:45:00| 2023-08-20 12:50:00|   90.00|Constant elevation scans             |230.00|  250.00|   50.00|    1|  10
  2023-08-20 12:50:00| 2023-08-20 13:55:00|   90.00|SPECIAL -- Moon avoidance (at end)   | 65.00|   85.00|   50.00|    1|  11
  2023-08-20 13:55:00| 2023-08-20 15:00:00|   90.00|SPECIAL -- Moon avoidance (at end)   | 65.00|   85.00|   50.00|    1|  12
  2023-08-20 15:00:00| 2023-08-20 16:05:00|   90.00|SPECIAL -- Moon avoidance (at end)   | 65.00|   85.00|   50.00|    1|  13
  2023-08-20 16:05:00| 2023-08-20 17:10:00|   90.00|SPECIAL -- Moon avoidance (at end)   | 65.00|   85.00|   50.00|    1|  14
  2023-08-20 17:10:00| 2023-08-20 18:15:00|   90.00|SPECIAL -- Moon avoidance (at end)   | 65.00|   85.00|   50.00|    1|  15
  2023-08-20 18:15:00| 2023-08-20 19:20:00|   90.00|SPECIAL -- Moon avoidance (at end)   |275.00|  295.00|   50.00|    1|  16
  2023-08-20 19:20:00| 2023-08-20 20:25:00|   90.00|SPECIAL -- Moon avoidance (at end)   |275.00|  295.00|   50.00|    1|  17
  2023-08-20 20:25:00| 2023-08-20 21:30:00|   90.00|SPECIAL -- Moon avoidance (at end)   |275.00|  295.00|   50.00|    1|  18
  2023-08-20 21:30:00| 2023-08-20 22:35:00|   90.00|SPECIAL -- Moon avoidance (at end)   |275.00|  295.00|   50.00|    1|  19
  2023-08-20 22:35:00| 2023-08-20 23:40:00|   90.00|SPECIAL -- Moon avoidance (at end)   |275.00|  295.00|   50.00|    1|  20
  2023-08-20 23:40:00| 2023-08-21 00:45:00|   90.00|SPECIAL -- Moon avoidance (at end)   |275.00|  295.00|   50.00|    1|  21
  2023-08-21 00:45:00| 2023-08-21 01:50:00|  180.00|Constant elevation scans             |110.00|  130.00|   50.00|    2|   0
  2023-08-21 01:50:00| 2023-08-21 02:55:00|  180.00|Constant elevation scans             |110.00|  130.00|   50.00|    2|   1
  2023-08-21 02:55:00| 2023-08-21 04:00:00|  180.00|Constant elevation scans             |110.00|  130.00|   50.00|    2|   2
  2023-08-21 04:00:00| 2023-08-21 05:05:00|  180.00|Constant elevation scans             |110.00|  130.00|   50.00|    2|   3
  2023-08-21 05:05:00| 2023-08-21 06:10:00|  180.00|Constant elevation scans             |110.00|  130.00|   50.00|    2|   4
  2023-08-21 06:10:00| 2023-08-21 07:15:00|  180.00|Constant elevation scans             |230.00|  250.00|   50.00|    2|   5
  2023-08-21 07:15:00| 2023-08-21 08:20:00|  180.00|Constant elevation scans             |230.00|  250.00|   50.00|    2|   6
  2023-08-21 08:20:00| 2023-08-21 09:25:00|  180.00|Constant elevation scans             |230.00|  250.00|   50.00|    2|   7
  2023-08-21 09:25:00| 2023-08-21 10:30:00|  180.00|Constant elevation scans             |230.00|  250.00|   50.00|    2|   8
  2023-08-21 10:30:00| 2023-08-21 11:35:00|  180.00|Constant elevation scans             |230.00|  250.00|   50.00|    2|   9
  2023-08-21 11:35:00| 2023-08-21 12:40:00|  180.00|Constant elevation scans             |230.00|  250.00|   50.00|    2|  10
  2023-08-21 12:40:00| 2023-08-21 13:45:00|  180.00|SPECIAL -- Sun avoidance (at end)    | 65.00|   85.00|   50.00|    2|  11
  2023-08-21 13:45:00| 2023-08-21 14:50:00|  180.00|SPECIAL -- Moon avoidance (at end)   | 65.00|   85.00|   50.00|    2|  12
  2023-08-21 14:50:00| 2023-08-21 15:55:00|  180.00|SPECIAL -- Moon avoidance (at end)   | 65.00|   85.00|   50.00|    2|  13
  2023-08-21 15:55:00| 2023-08-21 17:00:00|  180.00|SPECIAL -- Moon avoidance (at end)   | 65.00|   85.00|   50.00|    2|  14
  2023-08-21 17:00:00| 2023-08-21 18:05:00|  180.00|SPECIAL -- Moon avoidance (at end)   | 65.00|   85.00|   50.00|    2|  15
  2023-08-21 18:05:00| 2023-08-21 19:10:00|  180.00|SPECIAL -- Sun avoidance (at end)    |275.00|  295.00|   50.00|    2|  16
  2023-08-21 19:10:00| 2023-08-21 20:15:00|  180.00|SPECIAL -- Moon avoidance (at end)   |275.00|  295.00|   50.00|    2|  17
  2023-08-21 20:15:00| 2023-08-21 21:20:00|  180.00|SPECIAL -- Moon avoidance (at end)   |275.00|  295.00|   50.00|    2|  18
  2023-08-21 21:20:00| 2023-08-21 22:25:00|  180.00|SPECIAL -- Moon avoidance (at end)   |275.00|  295.00|   50.00|    2|  19
  2023-08-21 22:25:00| 2023-08-21 23:30:00|  180.00|SPECIAL -- Moon avoidance (at end)   |275.00|  295.00|   50.00|    2|  20
  2023-08-21 23:30:00| 2023-08-22 00:35:00|  180.00|SPECIAL -- Moon avoidance (at end)   |275.00|  295.00|   50.00|    2|  21
  2023-08-22 00:35:00| 2023-08-22 01:40:00|    0.00|Constant elevation scans             |110.00|  130.00|   50.00|    3|   0
  2023-08-22 01:40:00| 2023-08-22 02:45:00|    0.00|Constant elevation scans             |110.00|  130.00|   50.00|    3|   1
  2023-08-22 02:45:00| 2023-08-22 03:50:00|    0.00|Constant elevation scans             |110.00|  130.00|   50.00|    3|   2
  2023-08-22 03:50:00| 2023-08-22 04:55:00|    0.00|Constant elevation scans             |110.00|  130.00|   50.00|    3|   3
  2023-08-22 04:55:00| 2023-08-22 06:00:00|    0.00|Constant elevation scans             |110.00|  130.00|   50.00|    3|   4
  2023-08-22 06:00:00| 2023-08-22 07:05:00|    0.00|Constant elevation scans             |230.00|  250.00|   50.00|    3|   5
